,Name,Final_Price
0,HDFCLIFE,642.45
1,ASIANPAINT,"3,265.00"
2,SUNPHARMA,994.00
3,APOLLOHOSP,"5,084.40"
4,MARUTI,"9,420.00"
5,EICHERMOT,"3,564.70"
6,CIPLA,999.95
7,BHARTIARTL,844.00
8,TATAMOTORS,570.00
9,LT,"2,418.95"
10,TITAN,"2,972.50"
11,COALINDIA,227.10
12,UPL,674.75
13,ICICIBANK,926.05
14,DRREDDY,"4,901.00"
15,ONGC,159.00
16,NTPC,184.55
17,BAJAJ-AUTO,"4,613.10"
18,POWERGRID,253.60
19,TATACONSUM,842.00
20,HEROMOTOCO,"2,825.25"
21,ULTRACEMCO,"8,163.20"
22,INDUSINDBK,"1,272.70"
23,WIPRO,382.30
24,NESTLEIND,"22,532.90"
25,BAJAJFINSV,"1,507.50"
26,GRASIM,"1,749.95"
27,ITC,447.50
28,TCS,"3,237.30"
29,HINDUNILVR,"2,651.30"
30,BAJFINANCE,"7,020.95"
31,HCLTECH,"1,161.90"
32,M&M,"1,376.90"
33,SBIN,562.00
34,KOTAKBANK,"1,833.00"
35,ADANIENT,"2,392.30"
36,RELIANCE,"2,528.90"
37,BRITANNIA,"4,972.05"
38,JSWSTEEL,750.00
39,HDFCBANK,"1,637.55"
40,INFY,"1,276.45"
41,SBILIFE,"1,271.20"
42,TECHM,"1,114.00"
43,DIVISLAB,"3,527.00"
44,TATASTEEL,110.50
45,HDFC,"2,701.15"
46,ADANIPORTS,741.00
47,AXISBANK,960.00
48,BPCL,370.20
49,HINDALCO,416.00
